"cocktail_ingredient_id","ingredient_amount","ingredient_name","ingredient_type","ingredient_unit","cocktail_id","ingredient_id","ingredient_amont"
83,"14.8","Falernum, Velvet Falernum (John D. Taylor's)","Liqueur","ml",15,749,""
84,"7.4","계란 흰자","General","ml",15,731,""
85,"3","비터스, Angostura","General","ds",15,74,""
86,"44.4","Bourbon, Bulleit","Whisky","ml",16,326,""
87,"14.8","Cynar","Liqueur","ml",16,654,""
88,"22.2","레몬 주스","General","ml",16,1086,""
89,"14.8","B 등급 메이플 시럽","General","ml",16,1161,""
90,"14.8","Allspice Dram, St. Elizabeth","Liqueur","ml",16,26,""
91,"1","레몬 껍질","Garnish","twst",16,1088,""
92,"1","체리","Garnish","",16,451,""
93,"29.6","Blanco Tequila","Tequila","ml",17,271,""
94,"29.6","Licor 43","Liqueur","ml",17,1098,""
95,"14.8","라임 쥬스","General","ml",17,1119,""
96,"14.8","레몬 주스","General","ml",17,1086,""
97,"14.8","계란 흰자 (휘핑)","General","ml",17,731,""
98,"1","Mezcal, Del Maguey Vida","Mezcal","rinse",17,1204,""
99,"1","풍부한 단순 시럽 2:1","General","t",17,1657,""
100,"1","비터스","General","dr",17,209,""
101,"1","라임 껍질","General","twst",17,1123,""
102,"59.1","Gin","Gin","ml",18,803,""
103,"22.2","라임 쥬스","General","ml",18,1119,""
104,"1","진저 비어","General","spl",18,870,""
105,"1","Creme de Violette","Liqueur","spl",18,636,""
106,"1","뒤섞인 시소 (Shiso)","General","lf",18,1654,""
107,"29.6","Apple Brandy","Brandy","ml",19,87,""
108,"29.6","Sweet vermouth, Carpano Punt e Mes","Wine","ml",19,1735,""
109,"29.6","Cynar","Liqueur","ml",19,654,""
110,"2","Peychaud의 비터스","General","ds",19,1390,""
111,"1","마라스치노 체리","Garnish","",19,451,""
112,"44.4","Gin","Gin","ml",20,803,""
113,"1","승도 복숭아","General","sli",20,1235,""
114,"2","로즈마리","Garnish","spg",20,1547,""
115,"22.2","Campari","Liqueur","ml",20,396,""
116,"22.2","간단한 시럽","General","ml",20,1657,""
117,"22.2","레몬 주스","General","ml",20,1086,""
118,"59.1","탄산수","General","ml",20,1672,""
119,"29.6","Gin, Plymouth Navy Strength","Gin","ml",21,853,""
120,"29.6","라임 코디얼, Rose's","General","ml",21,1118,""
121,"22.2","Absinthe","Spirits","ml",22,2,""
122,"22.2","Aromatized wine, Lillet Blanc","Wine","ml",22,133,""
123,"22.2","Elderflower liqueur, St. Germain","Liqueur","ml",22,739,""
124,"22.2","레몬 주스","General","ml",22,1086,""
125,"1","Gin","Gin","ds",22,803,""
126,"44.4","Anejo tequila, Pueblo Viejo","Tequila","ml",23,150,""
127,"14.8","Mezcal, Del Maguey","Mezcal","ml",23,1203,""
128,"7.4","아가베 시럽","General","ml",23,15,""
129,"2","자몽 비터스 (Bittermens hopped grapefruit)","General","ds",23,907,""
130,"1","비터스, Angostura","General","ds",23,74,""
131,"44.4","Gin","Gin","ml",24,808,""
132,"29.6","Sweet vermouth, Carpano Punt e Mes","Wine","ml",24,1735,""
133,"29.6","Campari","Liqueur","ml",24,396,""
134,"29.6","흰색 자몽 주스","General","ml",24,910,""
135,"29.6","라임 쥬스","General","ml",24,1119,""
136,"29.6","생강 시럽","General","ml",24,880,""
137,"22.2","Gin","Gin","ml",25,803,""
138,"22.2","Sweet vermouth","Wine","ml",25,1730,""
139,"22.2","Campari","Liqueur","ml",25,396,""
140,"7.4","Curacao","Liqueur","ml",25,649,""
141,"7.4","Maraschino Liqueur","Liqueur","ml",25,1163,""
142,"7.4","레몬 주스","General","ml",25,1086,""
143,"1","비터스, Angostura","General","ds",25,74,""
144,"1","레몬 껍질","Garnish","twst",25,1088,""
145,"1","설탕 (유리를 림화하기 위해)","General","",25,1719,""
146,"29.6","Gin","Gin","ml",26,803,""
147,"29.6","Sweet vermouth","Wine","ml",26,1730,""
148,"29.6","Campari","Liqueur","ml",26,396,""
149,"22.2","자몽 주스","General","ml",26,910,""
150,"22.2","라임 쥬스","General","ml",26,1119,""
151,"22.2","꿀 시럽 (1 : 1)","General","ml",26,971,""
152,"7.4","Allspice Dram","Liqueur","ml",26,24,""
153,"29.6","탄산수 (쉐이크에 포함되지 않음)","General","ml",26,1672,""
154,"59.1","Gin","Gin","ml",27,803,""
155,"14.8","Sweet vermouth, Cocchi Vermouth di Torino","Wine","ml",27,1740,""
156,"14.8","Dry vermouth, Dolin","Wine","ml",27,711,""
157,"99.8","Sanbitter","General","ml",27,1619,""
158,"7.4","라임 쥬스","General","ml",27,1119,""
159,"44.4","Scotch","Whisky","ml",28,1623,""
160,"14.8","Jamaican rum, Smith & Cross","Rum","ml",28,1032,""
161,"14.8","Drambuie","Liqueur","ml",28,697,""
162,"14.8","Swedish Punsch","Liqueur","ml",28,1727,""
163,"2","비터스, Angostura","General","ds",28,74,""
164,"2","Absinthe","Spirits","ds",28,2,""
165,"1","오렌지 껍질","Garnish","twst",28,1291,""
166,"59.1","Bourbon","Whisky","ml",29,321,""
167,"14.8","레몬 주스","General","ml",29,1086,""
168,"7.4","오렌지 주스","General","ml",29,1276,""
169,"1","설탕","General","t",29,1719,""
170,"14.8","Red wine","Wine","ml",29,1487,""
171,"1","흑설탕","General","t",30,362,""
172,"1","물 (뜨거운)","General","t",30,1846,""
173,"44.4","Bourbon","Whisky","ml",30,321,""
174,"14.8","레몬 주스","General","ml",30,1086,""
175,"2","사과 버터","General","t",30,94,""
176,"25.9","Mezcal, Ilegal","Mezcal","ml",31,1206,""
177,"14.8","Tequila, Tromba","Tequila","ml",31,1775,""
178,"14.8","Cynar","Liqueur","ml",31,654,""
179,"25.9","레몬 주스","General","ml",31,1086,""
180,"14.8","간단한 시럽","General","ml",31,1657,""
181,"1","마멀레이드 (당근 마멀레이드, 선택 사항)","General","t",31,1166,""
182,"1","계란 흰자","General","",31,731,""
183,"29.6","Gin (London or Holland dry)","Gin","ml",32,812,""
184,"29.6","Bianco Vermouth","Wine","ml",32,195,""
185,"22.2","Kirschwasser","Brandy","ml",32,1052,""
186,"22.2","Drambuie","Liqueur","ml",32,697,""
187,"51.8","Bourbon","Whisky","ml",33,321,""
188,"22.2","Averna","Liqueur","ml",33,138,""
189,"7.4","Strega","Liqueur","ml",33,1717,""
190,"2","Peychaud의 비터스","General","ds",33,1390,""
191,"1","오렌지 껍질","General","twst",33,1290,""
192,"44.4","Rye, Rittenhouse 100","Whisky","ml",34,1601,""
193,"14.8","Cardamaro","Wine","ml",34,419,""
194,"1","그레나딘 (카르다몬 그레나딘)","General","t",34,934,""
195,"1","Bitters, Fee Brothers Whiskey Barrel Aged","Whisky","ds",34,244,""
196,"44.4","Gin","Gin","ml",35,803,""
197,"29.6","Dry vermouth","Wine","ml",35,709,""
198,"7.4","Strega","Liqueur","ml",35,1717,""
199,"7.4","라즈베리 시럽","General","ml",35,1480,""
200,"1","Maraschino Liqueur","Liqueur","bsp",35,1163,""
201,"1","레몬 껍질","Garnish","twst",35,1088,""
202,"39.4","Aquavit, Linie","Spirits","ml",36,120,""
203,"14.8","비터스, Fee Brothers Plum","General","ml",36,1433,""
204,"22.2","레몬 주스","General","ml",36,1086,""
205,"14.8","간단한 시럽 (1 : 1)","General","ml",36,1657,""
206,"37","Gin","Gin","ml",37,803,""
207,"37","Fino sherry (or Manzanilla)","Wine","ml",37,764,""
208,"7.4","Benedictine","Liqueur","ml",37,376,""
209,"7.4","Apricot liqueur","Liqueur","ml",37,110,""
210,"1","오렌지 비터스","General","ds",37,1265,""
211,"1","오렌지 껍질","Garnish","twst",37,1291,""
212,"22.2","Rye, Rittenhouse","Whisky","ml",38,1600,""
213,"22.2","Spanish brandy","Brandy","ml",38,1681,""
214,"22.2","자몽 주스","General","ml",38,910,""
215,"14.8","Del Capo","Liqueur","ml",38,675,""
216,"14.8","CioCiaro","Liqueur","ml",38,512,""
217,"1","자몽 껍질","Garnish","twst",38,914,""
218,"59.1","Spanish brandy","Brandy","ml",39,1681,""
219,"14.8","CioCiaro","Liqueur","ml",39,512,""
220,"14.8","Del Capo","Liqueur","ml",39,675,""
221,"1","레몬 껍질","General","twst",39,1087,""
222,"1","브랜디 체리","General","",39,450,""
223,"59.1","Bourbon","Whisky","ml",40,321,""
224,"14.8","Suze","Liqueur","ml",40,1725,""
225,"14.8","데메라라 시럽 (2 : 1)","General","ml",40,684,""
226,"2","자몽 비터스","General","ds",40,907,""
227,"37","Rye","Whisky","ml",41,1585,""
228,"22.2","Aquavit","Spirits","ml",41,117,""
229,"14.8","Suze","Liqueur","ml",41,1725,""
230,"2","비터스, Bittermens Xocolatl Mole","General","ds",41,229,""
231,"1","오렌지 껍질","General","twst",41,1290,""
232,"59.1","Gin (Ki No Bi Kyoto Dry Gin)","Gin","ml",42,809,""
233,"14.8","Chambord","Liqueur","ml",42,441,""
234,"14.8","유주 주스","General","ml",42,1886,""
235,"1","간단한 시럽 (대추 시럽, Blank Slate)","General","t",42,1657,""
236,"44.4","Vodka","Vodka","ml",43,1827,""
237,"14.8","Orgeat 아몬드 시럽","General","ml",43,1300,""
238,"14.8","레몬 주스","General","ml",43,1086,""
239,"7.4","패션프루트 시럽","General","ml",43,1333,""
240,"7.4","오렌지 주스","General","ml",43,1276,""
241,"44.4","Reposado Tequila","Tequila","ml",44,1492,""
242,"14.8","Mezcal","Mezcal","ml",44,1191,""
243,"22.2","Dry vermouth","Wine","ml",44,709,""
244,"7.4","Benedictine","Liqueur","ml",44,376,""
245,"2","비터스, Bittermens Xocolatl Mole","General","ds",44,229,""
246,"1","자몽 껍질","Garnish","twst",44,914,""
247,"44.4","Tequila","Tequila","ml",45,1764,""
248,"14.8","Mezcal","Mezcal","ml",45,1191,""
249,"14.8","아가베 시럽","General","ml",45,15,""
250,"3","라임","General","wdg",45,1114,""
251,"2","세이지","General","lf",45,1607,""
252,"1","세이지","Garnish","spg",45,1608,""
253,"44.4","Pear eau de vie","Brandy","ml",46,1367,""
254,"14.8","라임 쥬스","General","ml",46,1119,""
255,"7.4","간단한 시럽","General","ml",46,1657,""
256,"1","Herbal liqueur, Green Chartreuse","Liqueur","t",46,958,""
257,"1","로즈마리","General","spg",46,1548,""
258,"39.4","Rum, Bacardi 8","Rum","ml",47,1564,""
259,"29.6","Dry vermouth, Martini & Rossi","Wine","ml",47,713,""
260,"9.9","Elderflower liqueur, St. Germain","Liqueur","ml",47,739,""
261,"2","오렌지 비터스","General","ds",47,1265,""
262,"1","소금 용액","General","ds",47,1617,""
263,"1","오렌지 껍질","General","twst",47,1290,""
264,"59.1","Gin, Hendrick's","Gin","ml",48,843,""
265,"14.8","Vodka, Sobieski (Cucumber infused)","Vodka","ml",48,1836,""
266,"14.8","Aromatized wine, Cocchi Americano","Wine","ml",48,126,""
267,"7.4","레몬 주스","General","ml",48,1086,""
268,"2","샐러리 비터스, Bitter Truth Celery","General","ds",48,438,""
269,"44.4","Light rum (Overproof)","Rum","ml",49,1101,""
270,"29.6","코코넛 워터","General","ml",49,552,""
271,"22.2","라임 쥬스","General","ml",49,1119,""
272,"14.8","파인애플 시럽","General","ml",49,1409,""
273,"7.4","Curacao, Pierre Ferrand Dry","Liqueur","ml",49,650,""
274,"6","Absinthe","Spirits","dr",49,2,""
275,"1","육두구","Garnish","pn",49,1247,""
276,"29.6","Apple brandy, Aged","Brandy","ml",50,88,""
277,"29.6","Scotch","Whisky","ml",50,1623,""
278,"29.6","Sweet vermouth","Wine","ml",50,1730,""
279,"2","비터스, Angostura","General","ds",50,74,""
280,"1","체리","Garnish","",50,451,""
281,"44.4","Virgin Islands Rum, Cruzan Blackstrap","Rum","ml",51,1826,""
282,"29.6","Amer Picon, Amer Boudreau","Liqueur","ml",51,61,""
283,"14.8","발사믹 식초","General","ml",51,1823,""
284,"7.4","체리 시럽","General","ml",51,466,""
285,"22.2","Mezcal (Monte Alban)","Mezcal","ml",52,1196,""
286,"22.2","Cynar 70","Liqueur","ml",52,655,""
287,"22.2","라임 쥬스","General","ml",52,1119,""
288,"14.8","Herbal liqueur, Green Chartreuse","Liqueur","ml",52,958,""
289,"14.8","Grapefruit liqueur, Combier Pamplemousse Rose","Liqueur","ml",52,913,""
290,"1","코셔 소금","General","pn",52,1614,""
291,"1/4","세라노 (날 것)","General","",52,1642,""
292,"1","자몽 껍질","General","twst",52,915,""
293,"44.4","Bourbon","Whisky","ml",53,321,""
294,"14.8","Mezcal, Ilegal Reposado","Mezcal","ml",53,1208,""
295,"14.8","Aperol","Liqueur","ml",53,83,""
296,"59.1","Apple brandy, Laird's Bonded","Brandy","ml",54,90,""
297,"14.8","Sweet vermouth, Carpano Punt e Mes","Wine","ml",54,1735,""
298,"14.8","Amaro Nardini","Liqueur","ml",54,48,""
299,"7.4","Oloroso sherry (Or Amontillado)","Wine","ml",54,1260,""
300,"1","레몬 껍질","Garnish","twst",54,1088,""
301,"44.4","Bourbon","Whisky","ml",55,321,""
302,"29.6","Apricot liqueur, Rothman & Winter Orchard Apricot","Liqueur","ml",55,114,""
303,"1","Averna","Liqueur","bsp",55,138,""
304,"1","레몬 주스","General","bsp",55,1086,""
305,"1","레몬 껍질","Garnish","twst",55,1088,""
306,"29.6","Reposado Tequila","Tequila","ml",56,1492,""
307,"29.6","Rum, Banks 5 Island","Rum","ml",56,1566,""
308,"29.6","Amaro, Jefferson","Liqueur","ml",56,55,""
309,"7.4","Creme de Cacao, Tempus Fugit","Liqueur","ml",56,629,""
310,"5","비터스, Bittermens 'Elemakule Tiki","General","dr",56,210,""
311,"1","오렌지","Garnish","sli",56,1264,""
312,"44.4","Gin","Gin","ml",57,803,""
313,"22.2","Strega","Liqueur","ml",57,1717,""
314,"22.2","Dry vermouth","Wine","ml",57,709,""
315,"1","오렌지 비터스, Regans 'Orange Bitters","General","ds",57,1265,""
316,"1","비터스, Fee Brothers Orange","General","ds",57,1263,""
317,"1","오렌지 껍질","Garnish","twst",57,1291,""
318,"22.2","Pacharan","Gin","ml",58,1315,""
319,"2","Coffee liqueur, Araku (Rum based Coffee Liqueur)","Rum","bsp",58,563,""
320,"44.4","Irish whiskey, Jameson","Whisky","ml",58,997,""
321,"1","비터스, Angostura","General","ds",58,74,""
322,"44.4","Dark rum, Barbancourt 8","Rum","ml",59,666,""
323,"14.8","Campari","Liqueur","ml",59,396,""
324,"14.8","라임 쥬스","General","ml",59,1119,""
325,"14.8","오렌지 주스","General","ml",59,1276,""
326,"44.4","치노토","General","ml",59,481,""
327,"44.4","Oude genever, Bols","Spirits","ml",60,1303,""
328,"44.4","Sweet vermouth, Carpano Antica Formula","Wine","ml",60,1733,""
329,"22.2","딸기 시럽","General","ml",60,1715,""
330,"1","레몬 껍질","Garnish","twst",60,1088,""
331,"44.4","Gin (Russell Henry Hawaiian White Ginger)","Gin","ml",61,817,""
332,"14.8","Aromatized wine, Cocchi Barolo Chinato","Wine","ml",61,128,""
333,"7.4","Orange chocolate liqueur, Distillerie de Biercee Orangine","Liqueur","ml",61,1267,""
334,"2","비터스, Five Watt Coriander Bitters","General","ds",61,590,""
335,"59.1","Anejo tequila, Don Julio Anejo","Tequila","ml",62,148,""
336,"14.8","Ancho Reyes Verde chile liqueur","Liqueur","ml",62,71,""
337,"14.8","꿀 시럽","General","ml",62,971,""
338,"2","비터스, Angostura","General","ds",62,74,""
339,"1","오렌지 껍질","Garnish","twst",62,1291,""
340,"29.6","Campari","Liqueur","ml",63,396,""
341,"14.8","Coconut vodka, Skyy","Vodka","ml",63,551,""
342,"14.8","Orange liqueur, Clement Creole Shrubb","Liqueur","ml",63,1280,""
343,"14.8","파인애플 쥬스","General","ml",63,1406,""
344,"29.6","라임 쥬스","General","ml",63,1119,""
345,"44.4","Brandy, Copper & Kings","Brandy","ml",64,358,""
346,"14.8","Aromatized wine, Lillet Blanc","Wine","ml",64,133,""
347,"14.8","Falernum, Bitter Truth","Liqueur","ml",64,747,""
348,"14.8","Peach liqueur, Edmond Briottet","Liqueur","ml",64,1353,""
349,"2","레몬 비터스 (Dashfire)","General","ds",64,1083,""
350,"44.4","Rum, Smith & Cross","Rum","ml",65,1581,""
351,"7.4","Maraschino Liqueur, Luxardo","Liqueur","ml",65,1164,""
352,"14.8","라임 쥬스","General","ml",65,1119,""
353,"14.8","오렌지 주스","General","ml",65,1276,""
354,"14.8","자몽 주스","General","ml",65,910,""
355,"7.4","풍부한 단순 시럽 2:1 (선택 사항)","General","ml",65,1657,""
356,"2","비터스, 정향","General","ds",65,234,""
357,"44.4","Bourbon, Four Roses","Whisky","ml",66,332,""
358,"29.6","레몬 주스","General","ml",66,1086,""
359,"14.8","Triple sec, Combier L'Original Liqueur D'Orange","Liqueur","ml",66,1796,""
360,"14.8","Kummel","Liqueur","ml",66,1066,""
361,"14.8","생강 시럽","General","ml",66,880,""
362,"22.2","비트 주스","General","ml",66,182,""
363,"10","소금 용액","General","dr",66,1617,""
364,"73.9","Anejo tequila","Tequila","ml",67,147,""
365,"7.4","Vanilla liqueur, Nanys (or Licor 43)","Liqueur","ml",67,1812,""
366,"1","Maguey Sweet Sap, Villa de Patos (또는 Agave Nectar)","General","t",67,1148,""
367,"2","비터스, Angostura","General","ds",67,74,""
368,"1","오렌지 껍질","General","sli",67,1290,""
369,"44.4","Rhum Agricole (Blanc)","Rum","ml",68,1508,""
370,"29.6","Dry vermouth","Wine","ml",68,709,""
371,"7.4","Amer Picon","Liqueur","ml",68,60,""
372,"7.4","Benedictine","Liqueur","ml",68,376,""
373,"1","오렌지 껍질","Garnish","twst",68,1291,""
374,"29.6","Rhum Agricole, Rhum Agricole JM VSOP","Rum","ml",69,1515,""
375,"29.6","Amaro, ZCasoni 1814","Liqueur","ml",69,58,""
376,"29.6","Bonal Gentiane Quina","Wine","ml",69,319,""
377,"59.1","Rye, Rittenhouse","Whisky","ml",70,1600,""
378,"7.4","Maraschino Liqueur","Liqueur","ml",70,1163,""
379,"14.8","Creme de Cacao","Liqueur","ml",70,624,""
380,"7.4","Cynar","Liqueur","ml",70,654,""
381,"2","비터스, Bittermens Xocolatl Mole","General","ds",70,229,""
382,"1","레몬 껍질","General","twst",70,1087,""
383,"59.1","Rye, Bulleit","Whisky","ml",71,1591,""
384,"22.2","Hibiscus cordial","Spirits","ml",71,962,""
385,"22.2","레몬 주스","General","ml",71,1086,""
386,"14.8","자몽 주스","General","ml",71,910,""
387,"7.4","Allspice Dram, St. Elizabeth","Liqueur","ml",71,26,""
388,"1","Absinthe","Spirits","ds",71,2,""
389,"59.1","Rye, Rittenhouse","Whisky","ml",72,1600,""
390,"22.2","레몬 주스","General","ml",72,1086,""
391,"14.8","간단한 시럽 (Arbol-Chili infused)","General","ml",72,1657,""
392,"2","비터스, Angostura","General","ds",72,74,""
393,"1","Blanco tequila (as float)","Tequila","bsp",72,271,""
394,"1","레몬 껍질","Garnish","twst",72,1088,""
395,"22.2","Dry vermouth, Vya","Wine","ml",73,717,""
396,"22.2","Muscat Wine, Chambers","Wine","ml",73,1225,""
397,"7.4","Orange Curacao","Liqueur","ml",73,1269,""
398,"3","Bitters, Fee Brothers Whiskey Barrel Aged","Whisky","dr",73,244,""
399,"73.9","Bourbon, Woodford Reserve","Whisky","ml",73,347,""
400,"1","오렌지 껍질","Garnish","twst",73,1291,""
401,"1","마라스치노 체리","Garnish","",73,451,""
402,"29.6","Rye, Rittenhouse","Whisky","ml",74,1600,""
403,"14.8","Grappa","Brandy","ml",74,920,""
404,"44.4","Amaro, Jefferson","Liqueur","ml",74,55,""
405,"1","레몬 껍질","Garnish","twst",74,1088,""
406,"44.4","Pisco","Brandy","ml",75,1420,""
407,"14.8","Benedictine","Liqueur","ml",75,376,""
408,"14.8","Apricot liqueur","Liqueur","ml",75,110,""
409,"14.8","라임 쥬스","General","ml",75,1119,""
410,"10","Absinthe","Spirits","dr",75,2,""
411,"1","오렌지 껍질","Garnish","twst",75,1291,""
412,"44.4","Gin (Dry or London Dry)","Gin","ml",76,807,""
413,"14.8","Sloe gin","Gin","ml",76,1666,""
414,"14.8","Sweet vermouth","Wine","ml",76,1730,""
415,"14.8","Cynar","Liqueur","ml",76,654,""
416,"1","Absinthe","Spirits","rinse",76,2,""
417,"1","레몬 껍질","Garnish","twst",76,1088,""
418,"73.9","Gin","Gin","ml",77,803,""
419,"14.8","Dry vermouth","Wine","ml",77,709,""
420,"1","잣","General","t",77,1401,""
421,"3","바질","General","lf",77,171,""
422,"29.6","Blanco Tequila","Tequila","ml",78,271,""
423,"29.6","Sotol","Spirits","ml",78,1676,""
424,"14.8","Herbal liqueur, Green Chartreuse","Liqueur","ml",78,958,""
425,"14.8","Creme de Cacao","Liqueur","ml",78,624,""
426,"1","오렌지 비터스","General","ds",78,1265,""
427,"1","초콜릿 비터스","General","ds",78,484,""
428,"1","팔각","Garnish","",78,1700,""
429,"44.4","Reposado Tequila","Tequila","ml",79,1492,""
430,"29.6","Sweet vermouth","Wine","ml",79,1730,""
431,"14.8","Campari","Liqueur","ml",79,396,""
432,"14.8","Aperol","Liqueur","ml",79,83,""
433,"2","샐러리 비터스","General","ds",79,438,""
434,"22.2","Rye","Whisky","ml",80,1585,""
435,"22.2","Old Tom Gin","Gin","ml",80,1251,""
436,"29.6","Dry vermouth","Wine","ml",80,709,""
437,"7.4","Benedictine","Liqueur","ml",80,376,""
438,"7.4","파인애플 시럽","General","ml",80,1409,""
439,"2","비터스, Bittermens Xocolatl Mole","General","ds",80,229,""
440,"44.4","Rye, High West Double Rye","Whisky","ml",81,1594,""
441,"1","Fernet Branca","Spirits","t",81,756,""
442,"2","Licor 43","Liqueur","t",81,1098,""
443,"2","Sweet vermouth, Carpano Antica Formula","Wine","t",81,1733,""
444,"1","Suze","Liqueur","t",81,1725,""
445,"14.8","커피","General","ml",81,553,""
446,"2","비터스, Bitter Truth Orange","General","ds",81,1265,""
447,"59.1","Pineapple rum, Plantation Stiggins' Fancy","Rum","ml",82,1408,""
448,"7.4","Overproof rum (Plantation OFTD)","Rum","ml",82,1310,""
449,"7.4","패션프루트 시럽","General","ml",82,1333,""
450,"7.4","바닐라 시럽","General","ml",82,1814,""
451,"7.4","Allspice Dram","Liqueur","ml",82,24,""
452,"2","비터스, Angostura","General","ds",82,74,""
453,"2","비터스, Bittermens Xocolatl Mole","General","ds",82,229,""
454,"1","Absinthe","Spirits","ds",82,2,""
455,"1","오렌지 껍질","Garnish","twst",82,1291,""
456,"29.6","Gin","Gin","ml",83,803,""
457,"14.8","Campari","Liqueur","ml",83,396,""
458,"7.4","Cynar","Liqueur","ml",83,654,""
459,"7.4","Elderflower liqueur","Liqueur","ml",83,735,""
460,"29.6","Sweet vermouth","Wine","ml",83,1730,""
