,name,img url,time,ingredient list,recipe,url
27,Mexican Flag Shooter (Bandera Mexicana),https://www.thespruceeats.com/thmb/xIsWjW1KLlFW1bYCXi1IFWc6eIk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mexican_flag_shooter-56a3e9605f9b58b7d0d4694f.JPG,2 mins,"[{'amount': '1/3', 'unit': 'ounce', 'name': 'grenadine'}, {'amount': '1/3', 'unit': 'ounce', 'name': 'white tequila'}, {'amount': '1/3', 'unit': 'ounce', 'name': 'cr?me de menthe'}]","[""Gather the ingredients. \nPour grenadine into a shot glass.\nFloat tequila on top of grenadine.\nFloat cr?me de menthe on top of tequila.\nHow to Make a Layered Shot\nThis is a layered drink, so each ingredient is gently poured on top of the previous. Use the back of a spoon to disperse the liquid as you're pouring, so as not to disturb the ingredients already in the glass.\n\nAfter pouring the first ingredient into the shot glass, you need to grab a bar spoon, and while holding it upside down and placing the tip of the spoon on the inside edge of the glass, pour the next liquor over the spoon, moving it up slowly as you pour. This action will prevent the liquors from combining by spreading the next liquor to the layered effect for the drink. If you see it starting to mix, then you're pouring it too fast, simply slow down and be patient to get the desired effect.\nMore About the Mexican Flag Shooter\nThis shooter is usually made with tequila, and on the Riviera Maya, it's prepared with a local anise and honey liqueur called xtabent?n instead of tequila. The ingredients may be varied as long as the colors are maintained. This drink is also sometimes served flaming, in which case some overproof rum may be poured on top and then lit, and then it's called a flaming Mexican flag and drunk (carefully) through a straw.\nHow Strong Is a Mexican Flag Shooter?\nThis layered shot should have an alcohol content of around 21 percent ABV (42 proof), so expect this to be a stronger shot. \nHelpful Links\nBartending 101: Essential Techniques, Tips, and Tricks\nThe Bar Glassware Tour\nBest Bar Tools, According to Mixologists\nTequila Shots That Will Rock Your World""]",https://www.thespruceeats.com/mexican-flag-shooter-bandera-mexicana-1588805
28,Make Your Own Refreshing Watermelon Martinis,https://www.thespruceeats.com/thmb/LezE9diL0KLsTVGL-sxA3w6dnAw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Step_16_Cocktails_Watermelon_Martini-5935a74d5f9b589eb416e41e.jpg,20 mins,"[{'amount': '1', 'unit': 'cup', 'name': 'granulated sugar'}, {'amount': '1', 'unit': 'cup', 'name': 'water'}, {'amount': '2', 'unit': 'cups', 'name': 'watermelon chunks'}, {'amount': '1 1/2', 'unit': 'tablespoons', 'name': 'salt'}, {'amount': '1 1/2', 'unit': 'tablespoons', 'name': 'sugar'}, {'amount': '4', 'unit': 'ounces', 'name': 'vodka'}, {'amount': '1', 'unit': 'ounce', 'name': 'lime juice'}, {'amount': 'null', 'unit': 'slices', 'name': 'Watermelon'}]","[""Gather the ingredients. Chill 2 martini glasses.\nMake the simple syrup: Add the sugar and water to a small pan. Heat slowly over medium heat stirring until all the sugar has dissolved. Remove from the heat and cool.\nMake the watermelon juice: Place the watermelon chunks in a blender and blend until liquefied.\nPrepare the rims of the glasses: Mix together the sugar and salt. Wet the rims of the chilled martini glasses with a piece of watermelon. Dip the rims into the sugar and salt mixture.\nPlace the watermelon juice, vodka, lime juice, and simple syrup into a cocktail shaker. Top with the ice and shake well.\nPour the contents through the strainer into the prepared martini glasses.\nGarnish each with a wedge of watermelon.\nEnjoy.\nTips\nSimple syrup can come in handy for other recipes, so you may want to make more than is required for this recipe and store it for later on. Transfer the extra simple syrup to another container or bottle, cover, and store at room temperature for up to 3 months.\nA mealy or overripe watermelon is always disappointing, but it is also ideal for turning into watermelon juice to make a wide range of beverages, from a healthy smoothie to a delicious lemonade.\nIf you purchased a large watermelon and have a bit leftover, you can freeze the flesh to use later in drinks and popsicles.\nInstead of composting the rind, you can pickle the pieces to serve later as a sweet snack, or chop and combine with other ingredients to make a pie.\nWhen watermelon is out of season, you can substitute frozen watermelon puree available at many grocers (or think ahead and freeze some yourself in summer).\nIf you don't like the combination of salt and sugar, you can just use one?or skip the glass rimming altogether, if you prefer.\nHow to Rim a Glass for Cocktails""]",https://www.thespruceeats.com/watermelon-martini-drink-recipe-1665331
29,Cranberry Juice Sangria With Port Wine,https://www.thespruceeats.com/thmb/p7rvnTMoZ6O19QQD2LiXEfxI2tc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-621503806-df8eab7d111c4f61816a6401f3eaef9f.jpg,3 hrs 10 mins,"[{'amount': '1', 'unit': 'null', 'name': 'navel orange'}, {'amount': '1', 'unit': 'medium', 'name': 'lemon'}, {'amount': '48', 'unit': 'ounces', 'name': 'cranberry juice'}, {'amount': '3', 'unit': 'cups', 'name': 'port wine'}]","['Thread the fruit pieces onto skewers, if desired.\nCombine all ingredients in a large jug or bowl and refrigerate for at least 3 hours to chill and allow the flavors to develop.\nAdd ice to a pitcher and add sangria. Serve the sangria in wine glasses.\nRecipe Variations\nAdd strawberry halves, peach slices, or large fresh blueberries to the skewers.\nReplace 2 cups (16 ounces) of the cranberry juice with orange juice.\nAdd a few cinnamon sticks to the sangria.\nAdd a thinly sliced apple along with the citrus.\nAdd 1/2 cup of fresh cranberries for the perfect holiday touch.\nWhat Is the Difference Between Tawny and Ruby Port?\nPort is a fortified wine, meaning brandy is added to halt the fermentation process before it is placed in barrels to age. How long the wine is left to age determines whether it is a tawny or ruby port. Tawny port is left to age longer, where it will develop a rich color and a nutty, complex flavor. Ruby, on the other hand, is aged for less time and is characterized by having a sweeter taste. Ruby ports should be drunk soon after bottling, while tawny ports can be enjoyed later on.']",https://www.thespruceeats.com/festive-cranberry-sangria-3053651
30,Tinto de Verano: Spanish Wine Cocktail,https://www.thespruceeats.com/thmb/A98ssCqJXXch8VQoTqro2TZNQFM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/tinto-de-verano-spanish-wine-cocktail-recipe-3083126-hero-01-8ca0c89279d84164b763d5067154903f.jpg,5 mins,"[{'amount': '3 to 4', 'unit': 'null', 'name': 'ice cubes'}, {'amount': '1/2', 'unit': 'cup', 'name': 'red wine'}, {'amount': '1/2', 'unit': 'cup', 'name': 'lemon-lime soda'}, {'amount': 'null', 'unit': 'null', 'name': 'Slice of lemon'}]","['Gather the ingredients.\nPlace ice cubes in a tall glass of at least 20 ounces.\nAdd red wine and soda.\nGarnish with a lemon slice.\nTips\nYou can serve this drink in individual glasses or increase the recipe and make it in a pitcher for all to enjoy. \nWhen choosing a wine for your tinto de verano, you don’t have to use your best wine, but a decent table wine will prevent a bad hangover.\nAs with sangria, it\'s easy to drink too much tinto de verano because the flavor is so much like a soft drink. Be sure to drink responsibly.\nRecipe Variations\nConsider choosing an Italian soda as a mixer with your wine; there is a wide range of intense citrus flavors available at most grocery stores.\nAlthough the Spanish use Fanta Lim?n, what they call a gaseosa or casera, you can use any lemon-lime soda. If it is too sweet for your taste, add a splash of soda water or seltzer. You can even use lemonade mixed with soda water if you like.\nA little splash of vermouth is a nice touch, as are a few slices of fresh citrus fruit.\nTinto de Verano vs. Sangria\nAlthough most of us associate sangria with Spain\'s signature wine cocktail, the locals actually consider it a drink for the tourists. Tinto de verano is what Spaniards sip when the weather is warm. Perhaps this is because it requires just two ingredients compared to the wine, liqueurs, and lots of cut-up fruit needed to make the party beverage known as sangria. In cities such as Madrid and Barcelona, restaurants stir up large pitchers of sangria and sell them for high prices while those ""in the know"" enjoy a refreshing glass of tinto de verano without breaking the bank. \n\nTinto de verano has become so popular in Spain that it is sold already-made in cans. If you order it from a bar when visiting the country, be aware that you might receive this canned version; it doesn\'t necessarily taste bad, but it does not taste like the freshly made version. \nClassic Spanish Red Wine Sangria']",https://www.thespruceeats.com/tinto-de-verano-spanish-wine-cocktail-recipe-3083126
31,Queimada (Galicia Fire Drink),https://www.thespruceeats.com/thmb/aJPLKeLKyUsMZan3TFwAPyumbN0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-510230727-58eaeb4a5f9b58ef7e66add1.jpg,12 mins,"[{'amount': '1', 'unit': 'liter', 'name': 'orujo'}, {'amount': '2/3', 'unit': 'cup', 'name': 'granulated sugar'}, {'amount': '1/8', 'unit': 'cup', 'name': 'lemon peel strips'}, {'amount': '1/4', 'unit': 'cup', 'name': 'whole coffee beans'}]","[""Gather the ingredients.\nPlace the clay pot or bowl on a fireproof table of atop a cold BBQ grill. Be sure to have a large lid handy to put out the flames.\nPour approximately 4 tablespoons orujo and 1 tablespoon sugar into a small glass and stir to dissolve sugar, then set aside.\nPour the rest of the orujo and remaining sugar into the clay bowl and stir. Add the lemon peel and coffee beans and stir again.\nPour the orujo and sugar mixture from the glass into a ladle and light it on fire. Carefully move the ladle very close to the clay pot until the orujo mixture in the pot catches fire. Stir frequently until the flames turn blue. Slide the lid over the pot to put out the flames. Serve hot.\nEnjoy!\nTips\nPlay around with the spices you add to queimada, such as cinnamon sticks or whole cloves.\nUse a vegetable peeler to quickly remove long strips of lemon peel. The exact amount will vary depending on the size of the fruit.\nIf you can't find Orujo, use Italian grappa or brandy.\nAs with anything that includes fire, be extra-careful when setting the beverage aflame, keeping a fire extinguisher nearby.\nRecipe Variation\nTraditional pumpkin variation: Rather than in a clay pot, queimada is often traditionally made in a hollowed-out pumpkin. Add all the ingredients to the pumpkin and set it on fire, as in the standard recipe, being careful that the pumpkin itself doesn't catch on fire.""]",https://www.thespruceeats.com/queimada-recipe-fire-drink-of-galicia-3083122
32,Spiced Brandied Cherries Recipe,https://www.thespruceeats.com/thmb/iioI0nlKTCNI7g0Cs68QbeYUMGc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/spiced-brandied-cherries-2217571-012-6c72ca7ab7c64b42bf764a0ef3eb115c.jpg,105 mins,"[{'amount': '1/2', 'unit': 'pounds', 'name': 'cherries,'}, {'amount': '1', 'unit': 'cup', 'name': 'water'}, {'amount': '1/2', 'unit': 'cup', 'name': 'brown sugar'}, {'amount': '1/2', 'unit': 'cup', 'name': 'granulated sugar'}, {'amount': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'amount': '2', 'unit': 'cardamom', 'name': 'pods'}, {'amount': '2', 'unit': 'whole cloves', 'name': 'whole cloves'}, {'amount': '2', 'unit': 'allspice', 'name': 'berries'}, {'amount': '1', 'unit': 'pod', 'name': 'star anise'}, {'amount': '1', 'unit': 'cinnamon', 'name': 'stick'}, {'amount': '1', 'unit': 'cup', 'name': 'brandy'}]","[""Gather the ingredients.\nRinse the cherries, then remove the pits using a cherry pitter or alternative objects such as a toothpick, chopstick, or unbent paper clip. Work over a bowl to catch the cherry juice along with the pits, placing the pitted cherries in a separate bowl.\nIn a medium saucepan, bring the water to a boil. Add the brown and white sugars and stir until completely dissolved.\nReduce the heat to a simmer. Add the vanilla extract, cardamom, cloves, allspice, star anise, and cinnamon stick. Simmer for about 10 minutes.\nRemove the pan from the heat and discard the spices. Stir in the brandy and add the pitted cherries along with any juice. Let cool to room temperature.\nUse a slotted spoon to transfer the cherries to a 1-quart jar or 2 (1-pint) jars.\nPour the liquid over the cherries, covering them completely while leaving 1/2-inch of headspace in the jar. Secure the lid.\nPlace the jar in the refrigerator. If you prefer to use a traditional canning method, process the jar in boiling water for 10 minutes, allow it to cool, then store in a cool, dark place such as a cupboard or pantry. Either way, let the brandied cherries rest for six weeks before using to allow the flavor to develop.\nTips\nPitting cherries is a messy affair, especially at the height of the cherry season when they're super juicy. Wear an apron or clothing you don't mind getting splashed with cherry juice. Have a damp cloth handy to wipe up the counter and to clean your hands.\nIf you want to leave the stem intact, use the tip of a vegetable peeler or paper clip to carefully pit the cherry from the bottom. It's preferable to trim the stem to half its size.\nStrain the cherry juice from the bowl of pits with a fine-mesh strainer held over the pitted cherries.\nWhether stored in the refrigerator or canned using the water bath, the unopened jar of cherries should keep for up to a year (until next cherry season).\nOnce opened, keep the jar of brandied cherries chilled in the refrigerator and enjoy them within a week. Use multiple smaller jars if you won't consume a full quart of cherries within that time.\nRecipe Variations\nUse 1 cup of white sugar alone or switch to raw sugar.\nUse a flavored brandy that will complement the cherries. Apple brandies, such as calvados or applejack, are a good choice or try a cherry brandy like Germany's kirschwasser.\nAdd a 2-inch piece of lemon zest to the spiced syrup.\nAdd juniper berries, mace, or nutmeg.\nUse a whole vanilla bean instead of extract, adding it to the syrup then including it in the jar. Maximize the flavor by cutting a slit down one side of the pod.\n17 Intriguing Rye Whiskey Cocktails""]",https://www.thespruceeats.com/spiced-brandied-cherries-2217571
33,Rompope Mexican Eggnog,https://www.thespruceeats.com/thmb/JjydPI38m5zHqMb_xECoyRMFTBA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/rompope-mexican-eggnog-2342600-hero-01_crop-42755dd1fded4667b24fdb5974710865.jpg,60 mins,"[{'amount': '1/3', 'unit': 'cup', 'name': 'blanched almonds'}, {'amount': '6', 'unit': 'cups', 'name': 'milk'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'sugar'}, {'amount': '1/2', 'unit': 'cinnamon stick', 'name': 'cinnamon stick'}, {'amount': '8', 'unit': 'large', 'name': 'egg yolks'}, {'amount': '1', 'unit': 'cup', 'name': 'premium rum'}]","[""Gather the ingredients.\nProcess almonds into a paste in a food processor.\nSimmer milk, sugar, and cinnamon stick in a heavy-bottomed saucepan until the sugar dissolves and the milk is heated through. Do not boil. Remove from stove and let stand for 30 minutes.\nWhisk almond paste into milk mixture.\nBeat egg yolks until creamy, then slowly add the milk mixture, stirring continuously until fully incorporated.\nReturn pan to stove and cook mixture over low heat, stirring constantly, until it thickens enough to coat the back of a spoon, about 8 to 10 minutes.\nAllow rompope to cool completely. Add rum and stir before serving.\nTip\nAny kind of eggnog drink is really delicious with some ground nutmeg sprinkled on top before serving. If you've got fresh nutmeg, that's even better.\nHow to Store Rompope Mexican Eggnog\nYou can make rompope ahead of time. It will keep for seven to 10 days in a sealed container in the refrigerator.\nAlcohol-free versions of rompope will keep for three days in the refrigerator.\nVariations\nYou can scale this recipe up by double or triple if you are having a party and want to serve rompope to a larger group.\n\nThis recipe is often made with white rum, but feel free to use your favorite kind for this recipe.\nRaw Egg Warning\nConsuming raw and lightly cooked eggs poses a risk of foodborne illness.\nWhat Is Eggnog?""]",https://www.thespruceeats.com/rompope-mexican-eggnog-2342600
34,Cherry Gin and Tonic,https://www.thespruceeats.com/thmb/YZxclksPjcTS40HpBS2X4Yphbpg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-955452856-af30e2e8241945eeb53da8b96d59cbae.jpg,10 mins,"[{'amount': '6', 'unit': 'sweet cherries', 'name': 'sweet cherries'}, {'amount': '1/4', 'unit': 'cup', 'name': 'gin'}, {'amount': '2', 'unit': 'teaspoons', 'name': 'lime juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Tonic water'}, {'amount': 'null', 'unit': 'null', 'name': 'lime'}]","[""Pit cherries and put them in a cocktail shaker or large glass. Use a muddler or large wooden spoon to muddle or gently crush them.\nAdd the gin and lime juice, cover, and shake vigorously for a minute.\nFill two glasses with ice and strain the cherry-gin mixture in equal measures over the ice.\nAdd tonic to fill the glass or to taste and garnish with a lime.\nTip\nIf you find that you really enjoy this drink, you can make up a batch of muddled cherries ahead of time and keep them refrigerated in an airtight container. They'll come in handy for this drink, and for other uses, too, such as drizzling over vanilla or chocolate ice cream, or swirling into plain yogurt.\nYou might be wondering what the best type of gin would be for this drink. It's great with any gin but if you'd like to hone in on the flavor experience, it might taste great to you with a gin that's not juniper heavy. Look for Aviation or Hendrick's, which are good choices that are lighter on the juniper.\nVariation\nYou can easily substitute other fruits instead of cherries if you don't like them or are allergic to them. Any other kind of berry, such as raspberries, blackberries, blueberries, and/or strawberries, would work much in the same way as cherries in this recipe.\nIf gin's not your thing, pour vodka if you prefer that for a fruity twist on the vodka tonic.\nHow Strong Is a Cherry Gin and Tonic?\nThe cherry gin and tonic is an easy to drink cocktail. Its alcohol content falls right in line around 12 percent ABV (24 proof) if you pour about 4 ounces of tonic. Less tonic water will make it a much stronger drink.\nHelpful Links\nIf you're new to the world of cocktails and in particular, blending them to get them just right, check out some of these links.\nHow to Properly Shake a Cocktail\n5 Steps to Creating the Perfectly Blended Cocktails\nHow to Strain Cocktails\nFruit Flavor Pairing in Drinks""]",https://www.thespruceeats.com/cherry-gin-and-tonic-2216220
35,Red Wine Sangria Recipe,https://www.thespruceeats.com/thmb/9keb7aPsBafJn0R1LH0mkgTKbqM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/high-angle-view-of-sangria-in-glass-on-table-580777389-5b2e74968e1b6e003632850e.jpg,2 hrs 15 mins,"[{'amount': '1/4', 'unit': 'cup', 'name': 'brandy-based orange liqueur'}, {'amount': '2', 'unit': 'tangerines', 'name': 'tangerines'}, {'amount': 'null', 'unit': 'lemon', 'name': '1'}, {'amount': 'null', 'unit': 'lime', 'name': '1'}, {'amount': 'null', 'unit': 'null', 'name': 'null'}, {'amount': '1', 'unit': 'tablespoon', 'name': 'granulated sugar'}, {'amount': '1/2', 'unit': 'cup', 'name': 'orange juice'}, {'amount': '1', 'unit': '(750-milliliter) bottle', 'name': 'red wine'}]","[""Mix all the sangria ingredients together in a pitcher or large measuring cup, and allow to sit in the fridge for at least 2 hours, preferably overnight.\nStrain, if desired, and serve your sangria over ice.\nTips\nYou may be wondering what are the best wines to use for sangria. This recipe requires a red one, and you can look for something like a Spanish tempranillo, a juicy, robust Cabernet Sauvignon from California, or an Argentinian malbec.\n\nYou don't have to spend a fortune on a bottle of wine for sangria, either. Abide by the same rule as wine that you would cook with?you would not cook with anything that you wouldn't drink on its own. In the case of sangria, as long as the wine is fruity and tastes good on its own, it's a great candidate for sangria. If it's inexpensive, even better.\nVariations\nIn addition to varying the type of red wine you use, you can use different kinds of citrus fruits. Try clementines around the holidays, grapefruits if you would like something a little more sweet-sour, or swap out the apples for pears instead.\n\nIf you don't have Grand Marnier, which is a combination of triple sec and cognac liqueurs, you can use other orange-flavored liqueurs instead. Try either Cointreau, which is close in taste, or any triple sec. Consider experimenting with what you like, and add a touch cognac to replicate the Grand Marnier effect.\nHow to Store Sangria\nYou can mix sangria ahead of time and store it in the fridge until you're ready to serve it. The flavors will meld and improve if you make the sangria a day ahead, for example. Just wait until you're ready to serve it before adding ice or any sparkling water, if desired.\nSummer Drinks & Cocktail Recipes""]",https://www.thespruceeats.com/red-wine-sangria-recipe-3377243
36,Thai Mango Martini Recipe,https://www.thespruceeats.com/thmb/Pm_IvjZJyMlq9_x8Fm-e9OLtte8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/MangoMartini-GettyImages-56307689-5944a8893df78c537b6a8d11.jpg,10 mins,"[{'amount': '2', 'unit': 'mangoes', 'name': 'mangoes'}, {'amount': '1', 'unit': 'teaspoon', 'name': 'lime juice'}, {'amount': '1/3', 'unit': 'cup', 'name': 'water'}, {'amount': '1', 'unit': 'tablespoon', 'name': 'sugar'}, {'amount': '4', 'unit': 'ounces', 'name': 'dry vermouth'}, {'amount': '8', 'unit': 'ounces', 'name': 'vodka'}, {'amount': '1', 'unit': 'cup', 'name': 'ice'}]","['Make the Mango Pur?e\nGather the ingredients.\nPlace mango cubes in a blender or food processor.\nAdd the lime juice, water, and sugar.\nBlend well to create a smooth puree.\nMake the Martinis\nUnlike most ""martini"" recipes, this one is blended. This helps integrate the thick puree with the other ingredients and creates a luscious and slushy drink that is perfect for summer.\nMake the mango puree and leave it in the blender.\nAdd the vermouth, vodka, and a handful of ice cubes (or up to 3/4 cup crushed ice).\nBlend well until it is nice and smooth.\nTips\nYou can easily adjust the drink to find a good balance of sweet and sour that suits your taste. Add more sugar if you prefer it sweeter, or more lime juice if it\'s too sweet. If the alcohol is too strong for you, add more ice. When making these adjustments, give it another whirl in the blender.\nWhile it is best prepared right before serving, blended cocktails can be prepared ahead of time. Simply store the finished drink in a covered container (the blender pitcher works, too) in the freezer. Take it out a few minutes before serving to let it thaw a bit, then stir it well.\nThai Party Foods\nEvery party needs a little food and there are some simple Thai dishes that are the perfect complements to the mango martini. Serve these easy appetizers and enjoy the party:\nMini Thai Shrimp Lettuce Wraps Recipe\nEasy Thai Baked Coconut Shrimp (With Mango Dip) Recipe\nThai Fresh Rolls Recipe']",https://www.thespruceeats.com/mango-martini-recipe-3217329
37,Peach IZZE Candy Corn Cocktail,https://www.thespruceeats.com/thmb/rJavGecXJ7IKvg4ta8iuSGLIkZs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/IZZE-CandiedCornCocktail-Recipe-57fbd9bb5f9b586c35aa4572.jpg,3 mins,"[{'amount': '1 1/2', 'unit': 'ounces', 'name': 'whipped cream vodka'}, {'amount': '1', 'unit': 'ounce', 'name': 'pineapple juice'}, {'amount': '2', 'unit': 'ounces', 'name': 'sparkling peach juice'}, {'amount': '3/4', 'unit': 'ounce', 'name': 'grenadine'}, {'amount': 'null', 'unit': 'null', 'name': 'Whipped cream'}, {'amount': 'null', 'unit': 'null', 'name': 'Candy corn'}]","[""Gather the ingredients.\nIn a cocktail shaker, pour the vodka and pineapple juice.\nFill with ice, and shake well.\nStrain into a large cocktail glass.\nAdd the sparkling peach juice.\nSlowly pour in the grenadine. It will sink to the bottom.\nFinish the cocktail off with a healthy layer of whipped cream and a few candy corns. Serve and enjoy!\nHow Strong Is the IZZE Peach Candy Corn?\nIn the world of cocktails, even at the full 6-ounce serving, this is not a strong drink. Most dessert vodkas are just 35% ABV (70 proof) and because that's the only liquor involved, the cocktail is a very mild 9 percent ABV (18 proof). That's the same as the average glass of wine.""]",https://www.thespruceeats.com/peach-candy-corn-cocktail-a-sweet-izze-drink-for-halloween-4101012
38,Tequila-Infused Margarita Cupcakes Recipe,https://www.thespruceeats.com/thmb/CurjtvbrQ3lppx_rDw9skAnZIbk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Tequila-InfusedMargaritaCupcakes-56fc0a073df78c7841b1f6ac.jpg,60 mins,"[{'amount': '1', 'unit': '(16.5-ounce) box', 'name': 'white cake mix'}, {'amount': '1', 'unit': '(10-ounce) can', 'name': 'frozen Margarita mix concentrate'}, {'amount': '3', 'unit': 'large', 'name': 'egg whites'}, {'amount': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'amount': '1', 'unit': 'tablespoon', 'name': 'lime zest'}, {'amount': '1/2', 'unit': 'cup', 'name': 'vegetable shortening'}, {'amount': '1/2', 'unit': 'cup', 'name': 'butter'}, {'amount': '1/2', 'unit': 'teaspoon', 'name': 'lime zest'}, {'amount': '4', 'unit': 'cups', 'name': 'confectioners sugar'}, {'amount': '2', 'unit': 'tablespoons', 'name': 'tequila'}, {'amount': 'null', 'unit': 'null', 'name': 'sugar,'}, {'amount': '1 1/2', 'unit': 'cups', 'name': 'tequila'}]","['Preheat oven to 350 F.  Prepare the muffin tin by lining with baking cups.\nIn the mixing bowl of a stand mixer, combine cake mix, margarita mix, egg whites, oil and lime zest. Blend on low for 30 seconds then medium for 2 minutes.\nSpoon batter into baking cups, filling about 2/3 full.\nBake 22 to 24 minutes or until a toothpick inserted comes out clean.\nCool in pans for 5 minutes and then remove from pans and cool completely before frosting.\nFor icing, beat shortening, butter and lime zest with mixer until smooth.\nGradually add sugar 1 cup at a time, beating well after each addition.\nAdd tequila and beat until light and fluffy.\nSpread icing onto cupcakes. Sprinkle green sanding sugar around the edge of the cupcakes and garnish with additional lime zest. \nCut a small opening at the tip of each of 24 Wilton Shot Tops Infusers. Place the cut opening into the tequila and squeeze the top to fill. Insert the cut end into the cupcakes. When ready to eat, squeeze the top of Shot Tops Infuser again to infuse cake with tequila.']",https://www.thespruceeats.com/tequila-infused-margarita-cupcakes-4018613
39,Silver Sangria,https://www.thespruceeats.com/thmb/dpJeUtE9gf6nwm2OhrF4du2LqMk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/NoletsGingSilverSangria-1-Crop-56a1745c3df78cf7726ac943.jpg,8 hrs 5 mins,"[{'amount': '1/2', 'unit': 'cup', 'name': 'sugar'}, {'amount': '1', 'unit': '(750-milliliter) bottle', 'name': 'dry white wine'}, {'amount': '1', 'unit': 'cup', 'name': 'gin'}, {'amount': '1/2', 'unit': 'cup', 'name': 'white grape juice'}, {'amount': '1', 'unit': 'cup', 'name': 'seedless grapes'}, {'amount': '1', 'unit': 'medium', 'name': 'apple'}, {'amount': '2', 'unit': 'cups', 'name': 'ginger ale'}]","[""Gather the ingredients.\nIn a pitcher, dissolve sugar in the white wine, gin, and grape juice.\nAdd grapes and apple slices and chill overnight.\nAdd ice and top with ginger ale or club soda just prior to serving.\nServe and enjoy.\nTips\nThe Gin: This Silver Sangria recipe was designed specifically for Nolet's Silver Dry Gin for a very good reason. This gin has a softer profile than the traditional London dry gin that we're used to. It is less juniper-forward and has more focus on floral notes. It is a gin that vodka lovers will enjoy because it doesn't have that piney aspect that some drinkers find unappealing with gin. This profile also makes Nolet's the perfect base for the softer flavors of this sangria. It is a complement to the light, white fruits and that combination is what makes this recipe stand out.\nThe Grape Juice: Since we are going with a floral gin and a dry white wine, your average purple grape juice is not the best option for this recipe. Instead, look for white grape juice, which has a lighter flavor and is not as sweet as the darker options.\nHow Strong Is the Silver Sangria?\nNolet's is a higher-proof gin than average and is bottled at 47.6 percent ABV. If we use an 11 percent ABV wine in this sangria recipe, it has the alcohol content of around 11 percent ABV (22 proof).\nAs you can see, once we add the juice and soda to the mix, it is no stronger than the wine we used. This is great news because it keeps this sangria in the 'nice and gentle' range of punch recipes.""]",https://www.thespruceeats.com/nolets-silver-sangria-punch-4045991
40,Strawberry-Lime Sangria Recipe With Mint,https://www.thespruceeats.com/thmb/sClXihKlXZ6J30_jdc7bPMrwqlI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/119502331-58a4babe3df78c4758e80ce1.jpg,10 mins,"[{'amount': '1', 'unit': '(750-milliliter) bottle', 'name': 'dry ros? wine'}, {'amount': '1', 'unit': 'cup', 'name': 'strawberries'}, {'amount': '4', 'unit': 'cups', 'name': 'lemon-lime soda'}, {'amount': 'null', 'unit': 'limes', 'name': '3'}, {'amount': '2 to 3', 'unit': 'tablespoons', 'name': 'sugar'}, {'amount': '2', 'unit': 'tablespoons', 'name': 'fresh mint'}]","[""Gather the ingredients.\nPlace the sliced strawberries, the juice of two limes, and the sliced lime in a sangria pitcher.\nAdd the wine.\nRoll the mint sprigs in your hands to release the herb's fragrance and flavor. Then, using sharp kitchen shears gently cut the mint into thin strips and place in the pitcher.\nAdd sugar and soda and stir.\nFill the pitcher with ice just prior to serving. Garnish with any remaining mint leaves and sliced strawberries.\nEnjoy!\nTips\nThe Wine. Ros? wines are ideal for summer sangrias. These pink wines come in a range of styles, from sweet to dry and the best for this particular recipe are the drier Ros?s. To find those, look for a wine from southern France, Spain, or Italy.\nAdd to the Citrus. Give your sangria a lively citrus character by building on the lime and soda. Do so by adding sliced lemon and lime to the mix. This brings in more color and heightens the citrus-infused flavors at the same time. \nFresh Strawberries Are Key. If it is summer and you're making this sangria, do yourself a favor and choose fresh strawberries. After all, the fruit is the signature flavor of the drink. There really is no good excuse for using frozen strawberries in any strawberry sangria recipe during berry season.\nPlay With Your Mint. There are many varieties of mint available and you can have a lot of fun with different mints in this recipe. Peppermint and spearmint are natural options, but if you have chocolate mint, pineapple mint, or any of those other unique mints in your garden, toss them in as well. They will add an interesting twist to the sangria's flavor.\nIf you have to, raid a friend's mint garden. Just be sure to offer them a glass of sangria.\nAll About Ros? Wines""]",https://www.thespruceeats.com/strawberry-lime-with-mint-sangria-recipe-3511094
