,name,img url,ingredients,recipe,garnish,notes,url
10,Bali Bali,https://recipe.awesomedrinks.com/media/cocktails/BaliBali_Tiki_700x700.png.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Dark Puerto Rican Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Cognac / Brandy'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}]","Add all ingredients to a cocktail shaker and shake aggressively for 15 seconds and strain over crushed ice into a tiki glass.
Jeff Berry's REMIXED",None,"Funky rum flavor, classic juicy tiki with mild tart and sour finish",https://recipe.awesomedrinks.com/recipe/bali-bali/
11,Banana Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/banana-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Puerto Rican Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Ice'}, {'amount': '0.5', 'unit': '', 'name': 'Banana'}]","Cut and peal half a banana, add banana and all remaining ingredients into blender and blend for 10 seconds or until smooth.

Use your favorite rum for this drink, it makes a difference.
Beachbum Berry REMIXED",None,A subtle banana flavor with the focused flavor of your rum breaking right through without being boozy.,https://recipe.awesomedrinks.com/recipe/banana-daiquiri/
12,Barrel o' Rum,https://recipe.awesomedrinks.com/media/cocktails/barrel-o-rum.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Puerto Rican Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Honey Syrup / Mix'}, {'amount': '6', 'unit': 'dashes', 'name': 'Angostura bitters'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Club Soda'}]","Add all ingredients to a tin with crushed ice and pulse/blend for 5 seconds (we prefer the Hamilton Beach 730C Classic DrinkMaster Drink Mixer). Dump contents into tiki mug or rum barrel if you have one (especially if it's the Mai Kai rum barrel).
Beachbum Berry's Taboo Table",None,"Sweet and smooth passion fruit tartness with a mild sour and a good balance of sweet flavor, doesn't feel like four ounces of alcohol. Like a passion fruit lemonade.",https://recipe.awesomedrinks.com/recipe/mai-kais-barrel-of-rum/
13,Beachcomber's Punch,https://recipe.awesomedrinks.com/media/cocktails/beachcombers_punch700x700.png.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Apricot Brandy'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '1', 'unit': 'dash', 'name': 'Pernod / Absinthe'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all ingredients to a blender and blend for 5 seconds, pour into a champagne flute with additional crushed ice and garnish with mint. We suggest the ""dash"" of pernod / absinthe utilize about six drops.
Jeff Berry's REMIXED",Mint Sprig,"Fruity flavors of mild grapefruit, and citrus with a light sweet brown sugar molasses finish",https://recipe.awesomedrinks.com/recipe/beachcombers-punch/
14,Blue Hawaii,https://recipe.awesomedrinks.com/media/cocktails/blue_hawaii.png.300x300_q85_crop.jpg,"[{'amount': '22.5', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Blue Curacao'}, {'amount': '90.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Sour mix'}]","Add all ingredients to a cocktail shaker with ice and shake aggressively for 12 seconds, strain over crushed ice into a highball glass or hurricane glass. Optionally, blend the cocktail and dump into your glass instead.
source unknown",Pineapple Wedge and Umbrella,"Pineapple sweet and light sour finish, spirits are mostly hidden within the beverage",https://recipe.awesomedrinks.com/recipe/blue-hawaii/
15,Blue Hawaiian,https://recipe.awesomedrinks.com/media/cocktails/blue-hawaiian.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Blue Curacao'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coco Lopez - Cream of Coconut'}, {'amount': '1', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}, {'amount': '1', 'unit': '', 'name': 'Pineapple Wedge'}]","Add all ingredients to your cocktail shaker and give it a hard aggressive shake for 20 seconds. Strain over fresh ice into your highball glass, garnish with a pineapple and cherry.
Common Man Cocktails",Luxardo Maraschino Cherry & Pineapple Wedge,Heavy cream with huge coconut flavor with a muted hidden rum.,https://recipe.awesomedrinks.com/recipe/blue-hawaiian/
16,Blueberry Mezcal Margarita,https://recipe.awesomedrinks.com/media/cocktails/blueberry-mezcal-margarita.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '2', 'unit': 'dashes', 'name': 'Orange Bitters'}, {'amount': '10', 'unit': '', 'name': 'Blueberries'}]","Puree or Muddle blueberries with fresh lime juice and simple syrup, combine in shaker with bitters and mezcal and shake for 8 to 10 seconds. Dump directly into your old fashioned glass and serve.
source unknown",None,A lightly sweet blueberry with a tart sour finish that lingers with smoke,https://recipe.awesomedrinks.com/recipe/blueberry-mezcal-margarita/
17,Bocce Ball,https://recipe.awesomedrinks.com/media/cocktails/bocce_ball.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Amaretto'}, {'amount': '135.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '1', 'unit': 'splash', 'name': 'Club Soda'}]","Build all ingredients over ice in a tall glass and stir to integrate. Top with club soda, garnish and serve.
source unknown",Orange Wheel,"Great almond and orange blend, fairly sweet with a",https://recipe.awesomedrinks.com/recipe/bocce-ball/
18,Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '1', 'unit': 'pinch', 'name': 'Salt'}]","Add all ingredients into your cocktail shaker with ice and shake for 10 seconds. Strain into a chilled coupe glass or over ice into an old fashioned glass and enjoy. Optional garnish would include a lime twist.

We call for ""rum"", generically, because the daiquiri works with all your favorites from a light rum to an aged rum or even a Demerara rum.
Common Man Cocktails",Lime Twist,Refreshing sour bite with a lingering lime flavor with an overall backbone of beautiful rum.,https://recipe.awesomedrinks.com/recipe/daiquiri/
19,Demerara Dry Float,https://recipe.awesomedrinks.com/media/cocktails/demerara_dry_float.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Overproof Rum / 151'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Maraschino Liqueur'}, {'amount': '75.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Fresh lemon juice'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients except the overproof rum together in a cocktail shaker with ice and shake aggressively for 15 seconds. Strain over ice into an old fashioned glass and carefully top (pour over the back of a spoon) with overproof rum.

We suggest an overproof dark rum such as LemonHart 151 for this drink; a clear overproof rum won't look as pretty.
Intoxica by Jeff Berry",None,Sweet and Tart with a growing tangy bite that grows on you while also bringing a good sour citrus,https://recipe.awesomedrinks.com/recipe/demerara-dry-float/
20,Doctor Funk,https://recipe.awesomedrinks.com/media/cocktails/dr-funk.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Puerto Rican Rum'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Pernod / Absinthe'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Club Soda'}]","Shake all ingredients except club soda with ice for 15 seconds. Dump shaker contents into pilsner glass, tiki mug or favorite drinking vessel. Top with club soda, add more ice if needed.
Intoxica by Jeff Berry",None,"Lemonade and Good & Plenty candy, a light and refreshing sour against black licorice",https://recipe.awesomedrinks.com/recipe/doctor-funk/
21,Frozen Mudslide,https://recipe.awesomedrinks.com/media/cocktails/frozen_mudslide.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coffee Liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Irish Cream'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Vanilla Ice Cream'}]","Add two scoops of vanilla ice cream (around 6 ounces) and remaining ingredients to a blender with ice and blend until smooth (roughly 10-15 seconds). Garnish your old fashioned glass with chocolate syrup swirls and pour into your glass.

Optionally add chocolate shavings and whipped cream.
source unknown","Chocolate Shavings, Whipped Cream","Chocolate milk blended with a cafe latte, great after dinner or before dinner beverage in warm weather.",https://recipe.awesomedrinks.com/recipe/frozen-mudslide/
22,Gin & Jam,https://recipe.awesomedrinks.com/media/cocktails/gin-n-jam.jpg.300x300_q85_crop.jpg,"[{'amount': '37.5', 'unit': 'ml', 'name': 'Gin'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Demerara Simple Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cranberry Jam'}, {'amount': '2', 'unit': 'dashes', 'name': 'Mexican Mole Bitters'}]","Add all ingredients to your cocktail shaker and shake for 15 seconds. Double strain with a tea strainer into your chilled coupe glass and serve.
Montana's Trail House Restaurant - Brooklyn, NY",None,"Sweet up front, dry in the back with notes of juniper pairing with a fruity cranberry.",https://recipe.awesomedrinks.com/recipe/gin-jam/
23,Gin & Orange Special,https://recipe.awesomedrinks.com/media/cocktails/gin-orange-special.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'London Dry Gin'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Orange Liqueur'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Fresh orange juice'}]","Add all ingredients over ice into a tall glass and serve. Simple! The key to the flavors of this cocktail is the use of fresh pressed orange juice, it just doesn't compare to bottled OJ.
source unknown",None,A juicy flavorful citrus against a subtle gin that's easy to taste and a great pool side beverage. The gin does hide pretty well however.,https://recipe.awesomedrinks.com/recipe/gin-orange-special/
24,Gin Gin Mule,https://recipe.awesomedrinks.com/media/cocktails/gin_gin_mule.jpg.300x300_q85_crop.jpg,"[{'amount': '52.5', 'unit': 'ml', 'name': 'London Dry Gin'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Ginger Beer'}, {'amount': '8', 'unit': '', 'name': 'Mint Leaves'}]","Muddle simple syrup, lime juice, and 8 mint leaves in the bottom of your shaker tin. Add gin and top with ice, then shake for 15 seconds. Double strain (with tea strainer to remove any mint) over fresh ice in a tall glass. Top with ginger beer and garnish with a fresh new mint sprig. Server with a straw.
New York Cocktails: An Elegant Collection of over 100 Recipes Inspired by the Big Apple (City Cocktails)",Mint Sprig,Minty sweetness with a hint of backend ginger flavor,https://recipe.awesomedrinks.com/recipe/gin-gin-mule/
25,Hawaiian Slammer,https://recipe.awesomedrinks.com/media/cocktails/Hawaiian_Slammer700x700.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Overproof Rum / 151'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Banana liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coconut Rum'}, {'amount': '90.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '90.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}]","Add all ingredients to a shaker with ice and shake aggressively for 15 seconds, strain over ice into a tall hi-ball glass and add maraschino cherries on an umbrella. Serve.
source unknown",Two Maraschino Cherries / Parasol,"Fruity, but also intense with flavorful coconut and banana, and a bit of a rum bite.",https://recipe.awesomedrinks.com/recipe/hawaiian-slammer/
26,Hotel Nacional,https://recipe.awesomedrinks.com/media/cocktails/hotel_nacional.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Apricot Brandy'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds aggressively (to build a nice pineapple foam). Strain into a chilled coupe glass and serve.

Alternatively this works great with a dark rum.
source unknown",None,"A bold rum flavor balanced against tropical pineapple and apricot, a floral slightly delicate sour",https://recipe.awesomedrinks.com/recipe/hotel-nacional/
27,Hurricane,https://recipe.awesomedrinks.com/media/cocktails/hurricane.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Grenadine'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds. Strain into an iced Hurricane Glass or Hi-Ball. Garnish and serve.
source unknown",Orange slice and cherry,A flavorful fruit blend with a tart profile and a mild sour bite.,https://recipe.awesomedrinks.com/recipe/hurricane/
28,Knickerbocker,https://recipe.awesomedrinks.com/media/cocktails/knickerbocker.jpg.300x300_q85_crop.jpg,"[{'amount': '75.0', 'unit': 'ml', 'name': 'Rum'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Orange Curaçao'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Raspberry Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Add crushed ice to a rocks glass and strain drink over crushed ice. Add garnishes and serve.
The Spruce Eats",Lime Wedge and a Raspberry (or 3),A flavorful raspberry flavor with a mild sour bite and a bit of potency in the finish,https://recipe.awesomedrinks.com/recipe/knickerbocker/
29,Krakatoa,https://recipe.awesomedrinks.com/media/cocktails/Krakatoa.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Apricot Brandy'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Coffee Liqueur'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Use fresh ice, crushed ice or dump the old ice from your cocktail shaker into your highball glass and serve. Garnish with fresh fruit if you so desire. It's tiki, get crazy.
source unknown",None,"Coffee notes right up front, citrus to follow with mingling clove; a tropical coffee beverage with interesting flavors.",https://recipe.awesomedrinks.com/recipe/krakatoa/
30,Luau,https://recipe.awesomedrinks.com/media/cocktails/luau.jpg.300x300_q85_crop.jpg,"[{'amount': '22.5', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Overproof Rum / 151'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add contents to a cocktail shaker with ice (or crushed ice) and shake aggressively for ten seconds. You can either pour over fresh crushed ice or dump right into your tiki mug. Serve!
To impress, garnish with orchids and citrus and an umbrella.
Gerry Corcoran",None,"Rich and tangy flavor, floral and full of flavors and a bit of finishing bite.",https://recipe.awesomedrinks.com/recipe/luau/
31,Matador,https://recipe.awesomedrinks.com/media/cocktails/matador.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Tequila'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain over fresh ice into a highball glass and serve.
source unknown",None,"A salty pineapple-like flavor with simple base flavor profiles easily expanded on with spicy tequila infusions, etc.",https://recipe.awesomedrinks.com/recipe/matador/
